"R0000100","R0070500","R0337800","R0545600","R0839900","R1087300","R1463000","R1809800","R2171500","R2376300","R2770900","R3012700","R3340100","R3604400","R3954600","R4582900","R5267100","R5912600","R6578200","R7192900","R7879600","T0121900"
46,5,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,24,24,24,3,24,24
47,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,40,60,50,50,45,45
48,38,-4,-5,40,-4,-5,-5,-5,-5,-5,-4,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5
49,30,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,40,35,35,35,35,-4
50,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,20,30,35,40,40,35
51,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,40,-4,-4,40,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,-4,20,-4,35,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,-4,-4,7
54,-3,40,-4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,40,40,40,40,-5,-5
55,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-4,8,-4,25,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,-4,-4,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,40,-2,8,2,6,40
58,25,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,30,30,30,-5,30,30
59,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
60,28,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,50,-5,-5,-5
61,18,-4,-4,36,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,42,50
62,-4,-4,35,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,40,40,38,30,30,30
63,24,50,-4,20,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,50,50,50,45,45,45,50
64,15,-4,-4,37,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,-4,-4,-4,8,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,40,40,8,-5,40,40,40
67,3,-4,-4,50,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,65,50,-5,-5,55,-5,60
68,4,-4,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,47,-4,-4,-4,-4,-4,-4
69,-4,-4,-4,15,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,40,40,40,40,45,45,50
70,7,-4,15,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,44,48,47,-5,40,40,-5
71,10,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,60,10,50,-5,-5,-5
72,8,35,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,65,20,20,40,38,38
73,-4,30,-4,96,-4,-4,-4,-4,-5,-4,-4,-5,-5,-5,50,15,-5,60,45,50,40
74,30,-4,-4,30,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,40,-5,-5,-5,-5,-5,-5
75,20,-4,24,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,21,21,25,25,25
76,8,7,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,40,40,40,40,40,-4
77,-4,-4,-4,72,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,37,40,40,45,40,45
78,-4,-4,-4,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,10,10
79,-4,15,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,50,50,50,45,40,-5
80,-4,45,-4,50,-4,-5,-4,-5,-5,-4,-4,-4,-4,-4,40,40,8,35,40,40,35
81,4,-3,-4,8,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,30,40,40,19,-5,60,40
82,-4,-4,-4,-5,-5,-5,-4,-4,-5,-4,-4,-4,-4,-4,40,40,40,-4,-5,-5,-5
83,64,4,-4,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
84,-4,9,25,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,65,63,-4,-4
85,-4,-4,-4,40,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-5,-4,40,40,40,-4
86,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,35,40,36,40,40,41
87,-4,-4,30,40,-4,-5,-4,-4,-4,-4,30,-4,-4,-4,35,40,25,60,40,40,40
88,-4,-4,15,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,8,40,40,40,-4,40
89,12,16,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,40,38,40,40,40,40
90,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,45,40
91,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,-5,40,40,-4
92,25,-4,-4,32,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,17,17,35,35,35,35,35
93,-4,-4,-4,25,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,40,50,40,40,45,40,40
94,40,-4,-4,43,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,40,40,-5,42,43,40,40
95,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,17,12,20,40,40,40,45
96,19,-4,45,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,40,40,40,40,20,20
97,42,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,32,32,24,40,40,38
98,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
99,40,-4,-5,40,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,5,2,11,12,20,20,22
100,-4,-4,-4,40,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,40,37,35,35,35,35,35
101,19,40,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,50,55,-5,-5,66,-5
102,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,38,40,-5,35,35,35
103,-4,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,40,40,40,40,40,40
104,37,-4,-4,45,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,45,40,48,50,-5,-5,-5
105,38,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,35,45,40,-5,40,40
106,20,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,40,45,45,45,40,40
107,20,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,37,38,38,38,40,45
108,25,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,50,50,50,-4,-4,-4
109,-4,24,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,37,-5,-5,-5,-5,-5
110,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
111,38,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,25,7,36,40,40,40,40
112,-4,-4,20,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,35,16,-5,20,12,20
113,-4,-4,16,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,50,-4,-4,50,-4,-4,-4,-5,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,35,2,24,25,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
116,-4,-4,-4,15,-4,-4,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5
117,50,40,50,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,50,50,50,50,50,50
118,40,-4,-4,40,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,48,47,45,-5,-5,-5,-5
119,16,-4,56,40,-4,-4,10,-4,-4,-4,-4,-4,-4,-4,30,35,35,40,40,30,-4
120,10,-4,-4,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,50,70,60,-4,-4,-4
121,6,-4,30,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,42,40,40,40,40
122,-4,-4,45,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,50,40,-5,-4,-4,-4
123,26,-4,-4,14,-4,-4,-4,-5,-4,-4,-4,-4,-5,-5,40,-5,-5,-5,-5,-5,-5
124,18,20,40,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,-4,-4,35,-4,20
125,35,-4,-4,45,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,48,40,16,15,18,-5,-5
126,40,-4,-4,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,51,52,59,50,70,70,65
127,-4,40,30,-4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5
128,38,-4,-4,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,-5,37,40,40,-5,40
129,10,30,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,42,42,8,42,50,42,42
130,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,5,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,37,37,38,38,38,40
134,40,-4,-4,40,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,60,55,55,-5,-5,-5,-5
135,10,20,-4,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,-5
136,-4,-4,-5,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,-4,-4,-4,-4,-4,-4
137,32,25,45,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,50,40,50,45,50
138,-4,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,18,50,8,6,-4,-4,-4
139,-3,-4,-4,35,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,60,60,50,-4,-4
140,-4,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,30,30,35,35,30,30
141,-4,-4,45,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,43,50,50,40,40
142,40,-4,-4,50,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,45,-5,48,40,-5,-5,-5
143,32,-4,-4,40,-4,-4,-4,-4,-5,-5,-5,-5,-4,-4,40,32,40,-5,-5,40,43
144,3,3,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
145,-4,-4,20,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,35,30,46
146,4,-4,18,-4,-4,35,-4,-4,-5,-4,6,7,8,10,50,70,55,44,45,40,40
147,18,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,22,22,25,30,30
148,15,14,-4,43,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,47,43,42,45,35,36
149,6,6,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,40,45,40,40,40,40
150,40,-4,-4,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,16,48,70,-4,12,4
151,12,-4,-4,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-5,-5,-5,-5,-5
152,20,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,45,40,40,40,35
153,-4,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,38,37,38,55,25,40,40
154,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,28,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,-2,80,70,60,45,-5
156,40,-5,-4,80,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,50,-5,-5,90,-4,-4,-4
157,15,15,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,-5,50,-5,50,-5,-5
158,30,-4,-4,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,25,10,40,37,38,37
159,25,10,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,40,35,35,-5,-5,-5
160,20,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,36,40,40,40,40,40
161,-4,-4,-4,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,14,36,39,40,40,40,32
162,20,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,55,45,40,45,50,45
163,14,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
164,30,-4,-4,39,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,37,36,-5,36,-5,-5,-5
165,18,20,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,36,45,45,27,-4,-4,-4
166,17,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,40,45,50,45,50,55
167,40,17,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,25,40,40,25,-5,-5
168,-4,40,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
169,-4,-4,-5,-5,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
170,25,40,-5,48,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,35,35,35,-5,-5,-5
171,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,46,50,50,50,50,45,50
172,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
173,-4,-4,-5,-5,-4,-4,-4,-4,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,-4,-4,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,30,35,35,40,30,35
175,40,-5,10,20,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,3,30,-5,-5,-5,-5,-5
176,25,45,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
177,40,-4,-4,41,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,60,-5,-5,-5,-5
178,40,-4,-4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,21,40,55,-4,-4,-4
179,40,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,40,40,40,4,40,40
180,-4,32,-4,43,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,50,35,20,-4,-4,-5
181,60,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,60,50,60,50,60
182,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
183,-4,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,30,-4,-4,-4
184,14,-4,-4,39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,40,20,-4,-4,-4,35
185,-4,-4,-4,29,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,25,20,55
186,25,-4,-4,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,50,40,40,75
187,15,15,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-5,-5,-5,-5,-5,-5
188,40,40,-4,40,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,25,35,37,40,40,40,35
189,10,-4,-4,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,45,40,40
190,-4,32,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,40,45,40,40
191,-4,-4,70,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,50,15,50,55,50,55
192,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,20,24,24,15,20,8
193,11,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
194,-4,-4,-4,9,-4,-4,-4,-4,-4,-4,40,-4,-4,-4,-5,-5,50,62,50,65,-5
195,40,24,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,50,50,50,60,50,50
196,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,50,50,40,45,50,-5
197,-4,31,-4,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40
198,-4,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,50,55,55,50,50,50,50
199,40,35,-4,47,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,48,45,60,60,45,12,47
200,40,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,25,30,28,30,32,22,43
201,36,-4,36,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,60,50,-5,50,50,-4
202,72,30,-4,40,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,50,20,60,5,5,40,60
203,27,-4,-4,40,-4,-4,-5,-5,-5,-5,-5,-4,-4,-4,60,-5,-5,-5,-5,-5,-5
204,-4,-4,-5,-5,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,45,50,18,40,-5,-5,-5
205,-4,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
206,-4,-4,-5,40,-4,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,40,-5,-5,-5
207,-4,35,-4,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,45,50,45,40,40,40
208,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,50,-4,-5,-5,-5,-5
209,45,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,60,60,30,-5,-5,-5
210,-4,-4,-5,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,35,-5,40,40,40,40
211,-4,-4,20,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-4,-4,-4,-4,-4
212,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,44,40,50,40,-4,-4,-4
213,8,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,30,25,40,42,20,35
214,4,8,-4,32,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,96,90,60,75,75,55
215,-2,-4,-4,42,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-5,-5,-5,-5
217,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
218,18,-4,-4,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,45,50,45,45,45,50
219,6,-4,25,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,35,35,40,35,35,35
220,6,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,35,35,35,35,35,35
221,-4,-4,32,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,40,40,72,12,-4
222,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-4,-4,-4,-4,-4
223,14,-4,-4,36,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,49,40,40,40,45,40,40
224,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,12,20,30,37,30,30,30
225,10,-4,30,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-5,-5,-5,-5,-5,-5
226,-4,-5,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
227,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,25,30,30,-4
228,-4,40,-5,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,22,35,40
229,-4,-4,7,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,25,25,50,50,-4,-4
230,-4,-4,-4,36,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,45,45,45,2,45,50
231,20,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,15,40,40,40,40
232,15,-4,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,40,40,40,40,40,40
233,5,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
234,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,105,100,-5,105,-4,-5,37
