"R0000100","R0047010","R0263710","R0446810","R0702510","R0945610","R1256010","R1650810","R1923410","R2318210","R2526010","R2925010","R3127800","R3523500","R3728500","R4416800","R5079800","R5165200","R6478000","R7005700","R7702900","R8495200","T0986800"
23,353,-4,-4,375,-4,-5,-5,-5,-5,-5,-5,-5,1643,1748,-5,-5,-5,-5,-5,-5,-5,-5
24,-4,425,477,600,625,-5,450,711,952,1200,1282,1282,-5,1337,1442,1435,1492,1230,-5,-5,-5,-5
25,-4,375,422,497,525,555,609,850,937,1075,1081,1201,1243,1243,641,1250,1333,1475,1575,1850,1983,2166
26,280,500,720,335,355,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
27,315,325,415,475,684,934,1000,1000,-4,-4,-4,-4,-4,-4,436,-4,3000,1250,1500,-4,-4,-4
28,-4,125,340,335,750,526,692,720,745,862,918,833,1000,275,1400,1000,450,861,1708,-5,-5,-5
29,-4,472,-4,536,650,798,840,931,2037,1132,1106,1087,1068,921,1091,1700,1923,2403,19230,2932,2788,4086
30,340,420,511,416,-5,170,200,1220,293,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
31,-4,-4,-4,-4,335,-4,340,363,500,625,525,805,875,775,651,787,-5,1200,1470,1696,1871,1900
32,290,-5,490,560,375,454,500,-4,801,940,1068,-5,-5,897,1118,1280,1367,-5,-5,-5,4230,2967
33,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,450,-4,-4,-4,-5,-5,-5,-5,1000
34,500,600,700,900,600,800,1300,1375,1750,1333,302,1560,2173,1644,1644,1794,1328,1300,1012,843,769,8391
35,-4,-4,-4,-4,-4,337,610,680,898,925,-4,1104,1213,1213,1249,1299,600,865,-5,-5,-5,-5
36,325,-4,498,437,720,1025,500,-5,1625,1043,1602,1000,1068,1201,941,723,1043,1250,2500,3125,2083,-4
37,410,437,507,587,630,675,707,745,807,875,1009,1009,-4,-4,-4,-4,-4,1253,1431,11538,1732,2032
38,-4,-4,337,486,500,1111,450,535,807,1098,1237,1397,1442,1428,1631,1785,1813,2119,2475,2884,2929,3509
39,400,-5,302,510,555,700,600,707,824,1124,1178,1123,1236,115384,1666,2222,1730,3125,2253,2884,1984,2000
40,450,-4,-4,625,625,700,-4,-4,750,-4,1062,1125,-4,-4,775,-4,1730,1878,1944,2612,2615,2943
41,-4,-4,-4,458,577,675,705,837,888,1363,1400,1608,1395,2272,2653,1989,2147,-5,3496,3671,2807,4195
42,-4,333,-4,475,337,687,950,-4,-4,-4,1800,1300,1100,1282,1285,1367,1495,1923,1825,1940,1975,2075
43,291,280,350,2142,333,335,375,425,464,450,600,425,416,505,-4,-4,400,570,600,650,-4,-4
44,-4,-4,465,412,-4,270,-4,-4,-4,-4,-4,-4,485,600,825,-5,-4,-4,-4,-4,-4,1000
45,-4,686,743,600,402,793,1098,1250,1153,1282,1738,1538,1636,961,734,641,-5,-5,-5,-5,-5,-5
46,150,325,428,453,-4,-4,600,900,1075,1298,1442,1538,1635,1682,1586,1730,2200,2403,2760,2700,3000,3583
47,721,827,980,1070,555,1012,1100,1105,1324,1275,1672,1500,1500,1730,2008,1503,1872,1858,2155,2500,2700,2650
48,520,824,-5,500,1400,-5,-5,-5,-5,-5,1250,-5,1500,-4,-4,-4,-5,-5,-5,-5,-5,-5
49,450,549,550,700,742,820,890,1071,1152,1400,1538,1758,1700,1754,1500,1500,1499,1682,1833,1923,2000,3076
50,361,377,551,768,649,828,972,991,1012,1062,125,1200,1199,1263,171,150,300,1105,1400,1642,1752,2087
51,333,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,650,707,700,817,881,1001,1153,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,-4,-4,400,337,-4,2000,400,400,571,600,500,-4,-4,-4,-4,-4,-4,-4,675,-4,-4,515
54,508,-4,760,629,629,692,928,846,1062,1153,1400,1250,1400,1490,1500,-5,-4,1442,192,1800,-5,-5
55,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-4,-4,300,350,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,-4,300,-4,431,500,563,590,900,865,1043,651,862,2200,1083,615,1602,-4,-4,600,1200,1500,1550
58,450,520,600,666,769,807,961,1185,1217,1410,1506,1474,1666,1794,1686,1742,1923,1987,2051,-5,2692,2628
59,400,525,600,672,775,750,900,950,1000,1100,1250,1346,1394,1298,1394,1394,1375,1425,-4,-4,2100,2100
60,450,400,520,-5,812,680,1000,1280,2380,2500,2500,2884,-4,2884,3125,2980,2500,2850,1923,-5,-5,-5
61,294,500,367,447,458,739,743,856,898,888,800,1075,1173,752,1294,1442,1543,1605,1709,2838,2425,2423
62,-4,-4,-4,360,375,421,375,432,625,964,875,1143,1143,1265,1315,1445,1510,1528,1821,1730,1858,3994
63,479,-4,-4,450,450,500,775,807,1153,-5,-5,-5,-5,-5,2478,2115,2846,4000,3846,5128,2600,4153
64,291,312,375,525,504,668,277,592,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,-4,340,333,540,305,330,500,520,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,-4,-4,1000,337,337,650,500,500,-4,-4,-4,2800,-5,-4,-4,-4,-4,1680,-5,1500,-4,1900
67,833,410,1041,1081,1073,1574,-5,-5,4152,-4,-4,5,-4,-4,10207,-4,7692,-5,-5,7517,-5,-4
68,125,320,-4,500,600,385,916,1153,1221,1837,2289,1965,2179,1811,1923,-4,-4,-4,-4,-4,-4,-4
69,-4,-4,76,142,343,357,115,-4,-5,-5,-5,-5,-5,-5,1641,1923,2163,2426,3365,3205,3511,4437
70,-4,291,-4,312,-4,350,425,450,744,1150,500,1155,1000,1000,1170,1181,1197,1223,-5,-4,2315,-5
71,260,311,360,342,400,400,-4,450,800,1744,1275,2156,3509,2727,2781,-5,3589,12000,-4,-5,-5,-5
72,250,-4,-4,1333,381,575,666,723,1009,1648,1346,1543,20113,1000,2500,1428,946,625,735,1538,1800,1973
73,-4,-4,-4,231,337,-4,-4,416,-5,1346,1000,-5,-5,-5,1538,1538,1200,-5,3125,5769,5961,7692
74,-4,416,464,400,556,1000,237,866,666,1000,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5
75,291,320,-4,333,150,360,650,673,1201,1057,1346,1201,1682,1682,1730,1923,2019,2436,3000,-4,3500,3600
76,200,-4,500,400,400,335,400,500,373,650,750,1087,1250,1000,1000,1000,1250,1250,1442,1825,1877,1538
77,-4,-4,-4,100,-4,335,335,-4,811,998,1153,1239,1538,1538,1752,1803,2442,2644,3000,2905,3365,3076
78,-4,630,750,598,945,1050,250,710,955,1250,1350,1694,1710,1889,-4,-4,-4,-4,-4,-5,2400,2525
79,-4,-4,425,440,450,-4,-4,1076,1615,3333,3247,-4,-4,-4,5515,6410,7692,5384,6349,19623,5723,-5
80,-4,-4,-4,350,-4,-5,437,-5,-5,-4,-4,-4,581,652,465,581,581,833,1042,-4,6,6
81,-4,-4,410,-4,-4,-5,337,-4,519,600,500,550,550,500,1625,-4,1875,2000,657,-5,1416,-4
82,-4,-4,-4,-5,-5,-5,-4,-4,-5,-4,-4,-4,-4,-4,-4,650,1650,1650,-4,-5,-5,-5
83,156,-4,189,189,208,334,362,400,460,156,-4,-4,468,537,537,-4,-4,-4,-4,-4,-4,-4
84,-4,-4,-4,195,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,171,-4,950,750,-4,-4
85,-4,-4,416,375,-4,375,300,250,-5,-4,-4,372,-4,-4,-4,-4,-5,-4,-4,875,875,-4
86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,615,685,710,600,600,696,805,850,972,1195
87,-4,-4,-4,377,400,-5,500,750,900,677,950,575,421,482,700,850,384,620,800,850,1000,1200
88,-4,1200,472,673,1000,949,475,1200,1121,1495,805,1057,1031,1105,1009,1057,6442,1134,1490,1250,-4,1153
89,258,-4,336,400,647,649,841,971,1175,1250,1429,1568,1816,1923,1880,2083,1780,1872,2067,2307,2403,2403
90,-4,500,508,342,805,936,1179,1418,1730,1775,2071,2317,2500,2596,2596,3028,3125,3461,4326,4432,4316,6500
91,-4,-4,-4,-4,337,208,-4,350,700,910,1009,1340,1346,1375,1538,1282,1700,2163,-5,2644,1442,-4
92,-4,240,450,312,536,400,450,375,550,600,525,500,550,780,780,395,833,1370,1497,1549,1700,1769
93,-4,625,400,395,337,-4,-4,-4,625,600,675,575,800,800,800,950,1100,1340,1923,2991,2786,2963
94,375,714,697,732,716,850,833,1000,930,-5,1073,1073,1210,1144,-4,1298,1300,-5,1510,1800,2019,2019
95,320,337,437,440,550,500,625,820,-4,500,-4,566,700,775,775,600,700,1300,1376,1298,1375,1700
96,263,407,-4,350,420,500,700,800,854,777,804,1067,930,1098,1208,1271,1442,1682,1826,2000,2050,2067
97,366,450,519,240,725,921,840,1050,1000,1205,1351,1435,1600,1802,1632,1692,1800,1937,2094,2278,2115,2345
98,-4,405,-4,-4,628,650,542,625,600,625,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
99,472,437,-5,625,-5,-5,832,900,1004,750,1250,550,2500,640,750,200,1800,1183,800,1000,1070,1120
100,-4,291,446,500,540,-5,625,1041,-4,688,902,1035,897,690,1201,1111,1663,2170,2472,2786,2967,3186
101,375,-4,896,966,1201,1298,1634,1750,1709,1487,1442,1523,1880,1807,1597,1582,2269,2128,-5,-5,2797,-5
102,-4,-4,-4,337,318,333,385,357,842,935,997,934,1428,1800,2355,-4,-4,-4,-5,-4,-4,-4
103,-4,-4,648,1166,375,405,550,961,1300,1394,1518,1682,1819,1819,1730,2442,2259,2355,2740,2884,2906,3343
104,608,595,512,598,875,851,-5,-5,-5,-5,-5,-5,-5,-5,1972,1747,2163,2500,2000,-5,-5,-5
105,517,595,669,748,733,936,884,938,961,1055,1000,1112,1081,1329,1439,1439,1483,1123,1442,-5,1802,1923
106,325,350,490,500,-4,800,1057,884,1068,1282,1068,1529,1581,1923,1846,2000,2740,2777,3205,3205,4500,5048
107,300,335,360,400,427,467,507,500,777,923,961,1221,1201,1250,1298,1767,1819,2024,2024,2074,2173,1837
108,300,300,318,425,335,470,485,400,658,1000,685,1052,650,769,1100,1100,1153,1538,1923,2884,2692,3365
109,-4,-4,394,455,528,835,608,727,961,1351,1255,1231,1492,1619,1816,1871,2286,-5,-5,-5,-5,-5
110,400,682,912,640,1187,982,1201,841,1322,1415,1607,1706,1802,1899,1945,2115,2355,3269,2980,2633,3113,3846
111,342,337,416,432,377,-4,-4,-4,-4,1550,-4,-4,-4,444,375,700,1400,1600,1538,1634,1778,1778
112,-4,312,-4,350,-4,595,500,625,475,750,770,820,769,950,750,450,385,906,-5,1005,760,811
113,-4,340,-4,-4,-4,-4,-4,800,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,700,916,846,1000,400,1000,1025,-5,1209,-5,1638,1614,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,285,-4,-4,400,335,400,742,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
116,-4,-4,350,360,370,335,-5,-5,-5,-5,-5,-5,1500,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,338,-4,-4,700,740,1000,980,1030,1075,1270,1450,1410,1440,1615,1692,1800,1920,-4,2016,2016,2472,3000
118,320,300,362,350,500,450,500,600,-5,-5,4059,888,889,860,1153,1085,1472,1555,-5,-5,-5,-5
119,300,262,-4,340,715,480,350,650,414,750,700,710,274,797,274,320,1000,1098,1600,1875,1650,384
120,290,400,650,571,714,1000,750,1600,1666,1923,2250,1538,1318,2403,4166,3205,3846,3296,1923,2692,4273,3846
121,166,200,-4,-4,335,337,412,400,500,875,952,1250,1000,1442,1442,800,1100,1400,1528,1792,1810,2019
122,-4,342,-4,600,1400,533,174,961,769,769,857,1035,1500,1602,833,1573,1000,2000,-5,1025,2958,2588
123,300,365,405,435,818,850,952,-5,867,1009,1057,1057,-5,-5,1394,1490,-5,-5,-5,-5,-5,-5
124,200,-4,-4,250,400,-4,400,-4,1395,480,-4,500,2000,-4,-4,-4,700,-4,-4,142,-4,900
125,342,425,467,444,512,500,-4,750,-5,-5,294,750,750,826,1075,1475,1153,84,650,1000,-5,-5
126,375,350,621,961,1456,982,940,1217,1025,1814,2307,2153,1853,1503,1602,1669,1538,1336,1900,4000,-4,2514
127,-4,-4,-4,-4,-4,214,350,350,-5,-5,-5,-5,-4,-4,450,-4,-5,-5,-5,-5,-5,-5
128,460,521,488,537,604,659,750,1018,1049,1221,1281,1329,50600,1463,1585,1819,-5,2234,2500,2692,-5,3149
129,300,-4,-4,425,550,412,914,1282,1327,1709,1923,1831,1888,2060,2060,2173,2309,1500,3113,2692,3809,3663
130,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,-4,200,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,100,266,287,345,343,450,520,525,625,809,1037,1247,1340,1720,1771,1518,2182,2079,-4,3947,2631,2500
134,425,515,700,787,725,800,807,1201,-5,1500,1775,1875,1650,2195,1666,1849,2202,2097,-5,-5,-5,-5
135,-4,-4,240,352,350,375,400,800,1187,1200,950,1100,1100,1550,1200,1682,1600,2000,-4,2800,3028,-5
136,-4,300,-5,-4,-4,-4,-4,-4,-4,-4,685,1123,1025,-4,-4,475,-4,-4,-4,-4,-4,-4
137,312,-4,-4,582,1046,1153,1197,1385,1495,1826,1800,2668,2692,2884,2283,3798,4471,4001,6105,4072,6423,5584
138,-4,500,500,650,600,500,825,800,600,850,1300,250,300,800,350,555,307,426,450,85,128,192
139,-4,312,337,340,-4,625,750,1085,1105,600,1857,1296,1000,1000,961,-5,-5,1121,2083,2884,1923,2884
140,-4,-4,427,595,833,846,858,769,1063,-4,1442,1538,1923,1971,2019,2176,2948,2631,3131,2743,31,32
141,-4,312,-4,350,400,-4,270,206,700,-4,500,291,817,817,600,-4,1129,1296,1650,2000,2692,2692
142,357,500,500,730,600,769,850,-5,-5,1350,1442,1750,1260,1400,1400,1410,-5,1322,2067,-5,-5,-5
143,343,340,500,487,337,500,500,1068,-5,-5,-5,-5,1602,2023,1875,1694,2562,1459,-5,-5,2750,2504
144,100,100,200,200,328,375,448,458,606,525,1923,961,800,800,-4,-4,-4,-4,-4,-4,-4,-4
145,-4,311,-4,345,133,342,400,550,666,533,622,577,700,-4,500,625,800,850,750,900,800,900
146,175,500,-4,-4,500,-4,-4,-4,-5,-4,-4,-4,-4,-4,558,727,787,1099,1405,1880,2403,2508
147,277,336,230,500,675,709,625,857,900,1000,1022,1200,-4,-4,-4,-4,-4,524,568,384,1000,1040
148,75,-4,307,406,414,450,700,800,-4,939,1150,1150,1236,1227,1304,1300,1325,1550,1650,1750,1000,1213
149,100,-4,337,350,367,400,504,620,822,986,1399,1469,1610,1741,2168,2467,2620,2568,3500,3711,4086,4182
150,310,334,415,404,550,333,416,224,416,791,650,675,715,728,625,750,721,900,1064,33,465,1600
151,500,500,500,375,450,350,400,400,465,775,1142,2884,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5
152,300,300,390,437,475,572,629,826,1057,1300,1586,1586,1966,2182,2086,2182,2307,2179,2730,2884,3500,4670
153,-4,-5,-5,-5,-5,-5,371,350,480,1000,1000,629,765,1236,800,1062,1502,1822,1148,1050,1300,1200
154,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1000,-4,405,578,350,679,825,470,800,1062,980,1363,1454,1350,1000,1617,1000,1500,1267,2083,1500,-5
156,-4,-5,-4,-4,-4,-4,-4,-4,-5,-5,-5,961,-4,-4,801,494,-5,-5,-4,1201,673,215
157,-4,800,480,720,650,796,879,882,1057,1200,1200,1500,933,857,-4,1000,-5,1615,-5,1986,-5,-5
158,333,461,435,542,577,683,724,900,615,1175,1260,1360,1578,1300,1470,1250,675,399,1225,1584,1776,1824
159,400,520,800,600,900,611,817,1177,1177,1802,1538,1758,1586,1923,2142,2362,2644,3406,4326,-5,-5,-5
160,275,311,337,582,671,741,835,857,1015,1175,1213,1360,1428,329,1600,1850,1852,1950,1923,2700,2850,3100
161,-4,360,360,800,802,337,991,711,989,1149,1188,1400,1438,1559,1648,1650,1712,1900,1892,2100,2157,2289
162,305,375,375,375,450,425,730,982,1573,1500,1538,1923,2115,2115,2807,2807,2517,2777,3606,2884,2961,3247
163,321,335,400,666,350,600,590,833,800,1586,1538,1884,2472,1538,-5,-5,-5,-5,-5,-5,-5,-5
164,333,350,363,376,-5,-5,640,-4,-4,1300,1142,1052,-4,1068,1052,1148,972,-5,1000,-5,-5,-5
165,333,385,412,507,562,640,500,889,846,1081,1120,1185,1185,1346,1214,694,1000,1211,1000,480,769,1153
166,352,345,380,366,652,576,781,841,900,1111,1040,1096,1300,1157,1309,1402,1826,1858,1923,2307,2615,2867
167,300,-4,300,627,337,-4,350,-4,400,650,96,700,750,850,461,925,940,1150,1500,1860,-5,-5
168,-4,-4,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
169,-4,-4,-5,-5,310,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
170,400,-4,-5,625,266,290,1750,288,220,-4,-4,775,317,400,-4,-4,857,957,714,-5,-5,-5
171,-4,-4,650,550,1200,1145,1453,987,1145,1200,1250,1407,1307,1538,1730,1672,2093,2230,2405,3115,3632,3884
172,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
173,-4,300,-5,-5,370,425,585,523,-5,688,714,1033,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,-4,388,-4,568,716,627,756,785,1000,1185,1137,865,1057,1280,1510,1538,2170,2243,2371,2062,2716,2642
175,250,-5,-4,300,205,481,620,450,-5,-5,-4,-4,2880,551,500,-4,500,-5,-5,-5,-5,-5
176,320,225,347,625,375,625,567,875,1187,1538,-4,1578,-4,2000,-4,-5,-5,-5,-5,-5,-5,-5
177,362,400,375,487,750,450,576,961,1162,2000,801,1923,279,1236,2083,-5,-5,1923,-5,-5,-5,-5
178,475,500,570,727,776,676,841,-4,412,608,801,-4,2777,-4,224,675,1098,2300,1048,1098,1682,2644
179,350,437,437,562,667,400,400,450,729,618,650,785,1250,1000,1000,925,1000,1009,1442,14423,1346,1394
180,-4,-4,412,430,318,-4,-4,416,833,930,1201,1335,1415,1485,1527,1255,2076,5000,5576,2307,3589,-5
181,416,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4807,5769,1000,2884,3205
182,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
183,-4,545,555,755,1051,-4,1162,1216,1237,1145,-4,-4,-4,-4,-4,-4,-4,900,910,-4,-4,-4
184,290,332,415,541,630,500,650,545,723,1052,1150,1210,1210,-4,1442,1079,1097,1060,-4,-4,-4,1301
185,-4,-4,-4,241,400,607,360,687,1000,988,705,757,926,1000,1100,745,1250,1500,1600,1085,1150,1188
186,302,350,333,535,400,315,757,854,1346,1442,1538,1875,2019,1923,2019,2403,2548,2884,3434,3500,5480,1923
187,166,-4,-4,333,335,555,583,400,600,1450,1230,1750,1120,1325,1173,1750,-5,-5,-5,-5,-5,-5
188,337,360,362,409,495,500,-5,525,-4,-4,-4,-4,375,456,450,475,597,648,850,902,979,825
189,279,350,350,400,425,400,500,796,694,854,917,1298,1298,1346,1538,1586,1826,2596,3365,6614,3846,4663
190,-4,-4,335,335,335,649,1115,1052,961,1068,700,1605,1872,1923,-4,-4,-4,372,3413,3247,3653,4230
191,-4,-4,-4,327,335,-4,-4,909,1009,1000,1000,1500,1357,1303,1378,1493,1162,1794,3193,3711,3846,4125
192,-4,-4,335,335,335,340,132,872,942,1315,1190,1710,1872,1802,2115,1518,2600,2644,-4,3333,1000,6009
193,350,400,500,1081,1274,1480,1395,1366,1617,1923,2115,2240,2335,2463,2426,2711,3173,3461,3778,4259,4615,3990
194,-4,-4,-4,300,350,462,407,427,1796,1065,1222,1425,1428,1948,-5,-5,-5,4020,-4,-4,-4,-5
195,375,-4,-4,-4,1038,1098,1602,2115,2307,2500,2403,2884,2403,2403,3653,2884,3461,7692,5769,6730,6346,7692
196,-4,-4,-4,-4,370,390,335,450,1298,1634,2000,2000,1730,2163,1678,2564,3076,3846,4615,5726,5192,-5
197,-4,-4,357,274,400,533,571,475,662,687,750,812,-4,-4,-4,-4,-4,296,1000,800,900,1075
198,-4,294,275,400,465,750,865,817,925,769,1100,1600,1282,-5,909,1720,2272,2972,3461,3402,3846,5000
199,355,-4,666,744,885,1000,745,1081,1153,1333,1363,-5,1250,1495,874,7500,1333,1762,2000,2000,1900,1554
200,375,500,491,385,288,-4,-4,-4,-4,-4,-4,350,500,290,750,700,1000,1607,1250,330,909,1860
201,448,508,-4,-4,791,887,874,1437,1480,1314,2177,3338,-4,-4,4738,4545,4423,5192,-5,10570,5692,732
202,-4,-4,321,500,-4,726,-5,-5,566,550,750,1230,1288,200,744,232,769,500,2000,576,2403,1762
203,244,310,412,535,650,1056,-5,-5,-5,-5,-5,1303,1434,1491,1560,1282,-5,-5,-5,-5,-5,-5
204,-4,-4,-5,-5,-4,-5,-5,-5,-4,-4,-4,1136,454,800,1304,888,1600,-4,2259,-5,-5,-5
205,-4,-4,-4,428,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,961,-4
206,-4,308,-5,550,750,-5,-5,1000,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5
207,-4,-4,333,416,520,504,750,650,750,800,1250,1428,1000,777,1307,1423,826,810,1500,1695,1600,1700
208,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,557,187,-4,-4,-4,1000,-4,-5,-5,-5,-5
209,611,555,777,750,1000,1000,1111,961,1111,1500,1442,1200,333,750,1000,12692,1282,1442,1333,-5,-5,-5
210,-4,300,-5,335,360,335,581,750,747,1009,1111,1538,1648,1714,1490,1897,1923,-5,1682,1700,2100,2000
211,-4,-4,-4,395,300,360,400,500,817,910,1057,1153,1201,1322,1442,1535,1875,-4,-4,-4,-4,-4
212,-4,500,673,1375,1000,1201,1442,1331,1304,1517,1282,1553,1602,1522,1931,2272,3500,2000,2884,480,2403,3205
213,275,375,355,200,500,500,625,1076,1153,1333,1367,1596,1542,1730,4000,2400,6000,6000,3750,1968,-4,3428
214,375,-4,550,437,500,714,583,997,961,1196,476,700,1500,1109,1602,7500,1770,1495,2403,3333,2153,3286
215,-4,465,465,695,893,850,1075,1150,2350,2645,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,-4,387,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,600,-4,-5,-5,-5,-5,-5,-5
217,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
218,416,793,913,923,1395,1326,2051,2644,3221,3846,-4,-4,-4,-4,6490,6730,6837,8653,1239,12393,12393,9615
219,208,337,-4,812,917,1019,1395,1593,2051,500,1961,2060,2600,2655,2686,3064,3791,20604,3846,3461,34,-4
220,144,325,437,721,500,989,910,1153,1105,1923,1490,3021,2906,2842,3654,4285,4571,4560,4560,4700,5428,5394
221,-4,-4,-4,335,375,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2000,481,1002,675,700,-4
222,-4,2000,-4,-4,-4,291,-4,380,446,500,450,600,1700,2100,1500,500,475,-4,-4,-4,-4,-4
223,285,-4,333,416,360,354,474,425,1096,565,800,850,925,1050,1171,1500,1900,1900,2080,3000,2297,2493
224,-4,-4,-4,-4,-4,-4,-5,-4,350,350,-4,550,625,650,673,700,700,700,700,700,733,760
225,245,405,-4,1111,833,833,833,1000,770,562,687,687,687,687,611,800,-5,-5,-5,-5,-5,-5
226,-4,-5,320,-4,-4,-4,-4,211,648,600,700,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
227,-4,-4,-4,-4,-4,-4,-4,350,350,500,-4,400,-4,-4,-4,-4,500,-4,750,750,850,-4
