"R0000100","R0214700","R0214800","R0217501","R0405601","R0618601","R0898401","R1144901","R1520101","R1890801","R2257901","R2445301","R2871000","R3074700","R3401400","R3656800","R4007300","R4418400","R5081400","R5166700","R6479300","R7007000","R7704300","R8496700","T0988500","T2210500","T3108400","T4112900"
20,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1
21,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
22,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
23,3,1,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,3,1,0,0,0,0,0,-5,0,1,1,1,1,1,-5,1,1,3,3,3,-5,-5,-5,-5,-5,-5,-5
25,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,1,1
27,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,3,2,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,-5,-5,-5,-5,3,-5
29,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
30,3,2,0,0,0,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-5,2,2,3,3,3,1,1,1
32,1,2,0,-5,0,0,0,0,0,0,0,0,1,-5,-5,1,1,2,3,-5,-5,-5,1,1,-5,1,-5
33,1,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0,-5,-5,-5,-5,0,0,0,0
34,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
35,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
36,3,1,0,0,1,1,1,1,1,-5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1
37,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,3,1,0,-5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
40,3,1,0,0,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1
41,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,1,1
42,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
43,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3
44,3,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1
45,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5
47,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,3,1,0,0,-5,1,1,-5,-5,-5,-5,-5,1,-5,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,3,1,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3
53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,-5,-5,-5,1,-5
55,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,3,2,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,3,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3
58,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1
59,3,1,0,0,0,0,0,0,0,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,3,1,0,0,0,-5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,1
61,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3
63,3,1,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,1,1,1,1,1,1,1,1,1,1,1
64,3,1,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,3,2,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,3,1,0,0,0,0,0,0,0,0,0,1,1,1,-5,1,1,1,2,2,-5,3,3,3,3,3,3
67,3,1,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,1,1,-5,-5,1,-5,1,1,1,1
68,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
69,3,1,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,1,1,3,1,1,1,1,1,1
