"R0000100","R0214700","R0214800","R0217501","R0405601","R0618601","R0898401","R1144901","R1520101","R1890801","R2257901","R2445301","R2871000","R3074700","R3401400","R3656800","R4007300","R4418400","R5081400","R5166700","R6479300","R7007000","R7704300","R8496700","T0988500","T2210500","T3108400","T4112900"
3765,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
3766,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3
3767,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3768,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3769,3,2,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,-5,1,1,6,6,6,6,1,1,1
3770,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3771,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1
3772,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5
3773,3,2,0,6,0,6,1,-5,-5,-5,-5,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5
3774,3,2,0,-5,1,1,1,-5,1,1,1,1,1,1,1,1,1,1,-5,-5,2,2,2,2,2,2,2
3775,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,1,1,1,1,1,1
3776,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3
3777,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3778,3,1,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3779,3,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3780,3,1,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,1,1,1,1,1,3,3,3
3781,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1
3782,3,1,0,0,0,0,0,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3783,3,2,0,0,0,1,1,1,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3784,3,2,0,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,2,3,3,3,3,3,3,3,3
3785,3,2,0,0,0,0,0,-5,0,-5,-5,-5,-5,1,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3786,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3787,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3
3788,3,1,0,0,0,0,0,0,0,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3789,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1,1
3790,3,2,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
3791,3,2,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
3792,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3793,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3794,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3795,3,1,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
3796,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3797,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
3798,3,2,0,0,0,0,0,0,0,1,1,1,1,-5,1,1,1,1,1,1,1,1,1,1,3,3,1
3799,3,2,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3800,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3801,3,1,0,0,0,0,1,1,1,1,1,3,3,3,3,-5,-5,-5,1,1,-5,-5,-5,-5,-5,-5,-5
3802,3,2,0,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3
3803,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3804,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3805,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3806,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3807,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1
3808,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5
3809,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3810,3,1,0,0,0,0,0,0,0,0,0,1,2,6,1,1,1,1,3,-5,-5,-5,-5,-5,-5,-5,-5
3811,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3812,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3
3813,3,2,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
3814,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3815,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3816,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3817,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
3818,3,1,0,0,0,0,0,0,0,0,0,-5,0,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,1
3819,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3820,2,2,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3821,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3822,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0
3823,2,2,0,-5,0,-5,0,0,0,0,0,-5,-5,-5,-5,-5,0,0,0,0,0,0,0,0,0,0,0
3824,2,2,0,0,0,1,1,1,1,1,-5,-5,1,1,-5,-5,1,1,1,1,1,1,-5,1,3,3,3
3825,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
3826,2,2,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3827,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,1,1,1,2,2,1,1,3
3828,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,1,1,1
3829,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
3830,3,1,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,-5,1
3831,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3832,3,2,0,0,0,1,1,1,1,1,1,1,1,3,3,3,1,1,2,1,2,2,3,-5,3,-5,-5
3833,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3
3834,3,2,0,0,0,0,0,0,0,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3835,3,2,0,0,0,1,1,1,1,-5,-5,-5,-5,-5,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3836,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3837,3,2,0,0,1,1,1,1,1,2,1,1,1,1,1,2,3,3,3,3,1,1,1,3,3,1,1
3838,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-5,1
3839,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3840,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,0,0,3,3,3
3841,3,1,1,3,3,3,3,3,3,3,-5,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3842,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3
3843,3,2,0,-5,-5,-5,1,-5,-5,-5,-5,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5
3844,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3845,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
3846,3,2,0,0,0,0,0,0,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5
3847,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3848,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,1,1
3849,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,-5,3,3,-5,-5,3,1
3850,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3851,3,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3
3852,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3853,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
3854,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,1,1,1,1,1
3855,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3856,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
3857,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,-5,-5
3858,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,-5,-5,-5,-5,-5,-5
3859,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-5,6,6
3860,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3
3861,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3862,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5
3863,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3864,3,2,0,0,0,0,0,0,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3865,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3866,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3
3867,3,2,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
3868,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,0,0,0,-5
3869,3,1,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3870,3,1,0,0,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,-5,3,3,-5,-5
3871,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3872,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
3873,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3874,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,-5,-5,-5
3875,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3876,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6
3877,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3878,3,1,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3
3879,3,2,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5
3880,3,1,0,0,0,0,0,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3881,3,1,0,0,0,0,1,3,-5,3,3,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3
3882,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5
3883,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3884,3,1,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3885,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
3886,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
3887,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,1,-5,-5,-5,-5,-5
3888,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3889,3,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3890,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3891,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
3892,3,1,0,0,0,0,0,0,0,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3
3893,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,-5,1,-5,1,1,1,-5,-5,-5,-5,-5,-5
3894,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3895,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3896,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,1,1,1,-5,1,1,1
3897,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,1,-5,1,1
3898,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-5,-5,1,1,1,1,1,1,1
3899,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
3900,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3901,3,1,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3902,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3
3903,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3904,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
3905,3,1,0,0,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3906,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,3,3,3,3
3907,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3908,3,2,0,0,0,0,0,0,0,0,0,1,1,6,6,1,1,1,1,1,1,1,1,1,3,3,3
3909,3,1,0,0,0,0,0,0,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3910,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3911,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,1
3912,3,2,0,0,0,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3913,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3914,3,2,0,0,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
3915,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3916,3,1,0,0,0,0,0,0,0,-5,1,-5,-5,1,1,1,1,1,1,1,1,-5,-5,1,1,1,1
3917,3,1,0,0,0,0,0,1,1,3,-5,3,3,-5,3,3,3,3,3,3,3,3,1,1,1,1,1
3918,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3919,3,2,0,0,0,0,0,0,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3920,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3921,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
3922,3,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,1,1
3923,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3924,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3925,3,1,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3926,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3927,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3928,3,2,1,1,1,1,1,1,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
3929,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3930,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-5,1,-5,-5
3931,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1
3932,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,-5,-5,-5,-5
3933,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3934,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3935,2,2,0,-5,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3936,2,2,0,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,1,1,1,1,-5,1,1,-5,-5,-5
3937,2,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,-5,-5,-5,-5,-5
3938,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3939,2,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3940,2,2,0,0,-5,-5,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3941,2,1,0,-5,-5,-5,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,-5,0,0
3942,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3943,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-5,1,1,1,6
3944,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3945,2,2,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
3946,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,2,2,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
3948,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3949,2,1,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,2,2,2,1,1,1,1,1,1,1,1
3950,2,1,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5
3951,2,1,0,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3952,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3953,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3954,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0
3955,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0
3956,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-5,-5,-5,-5,-5,-5
3957,2,1,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,-5
3958,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3959,2,2,0,0,0,0,0,0,0,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3960,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2
3961,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3962,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3963,3,1,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
3964,3,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3965,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1
3966,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1
3967,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3968,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
3969,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3970,3,2,0,0,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3971,3,1,0,0,0,0,0,0,0,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,-5,-5,-5
3972,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3973,3,1,0,0,0,0,3,-5,-5,-5,3,3,3,3,-5,3,1,3,3,1,1,-5,-5,-5,1,1,-5
3974,2,1,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,-5,-5,-5
3975,2,2,0,1,1,1,-5,3,-5,3,-5,-5,-5,-5,-5,-5,3,3,3,3,1,-5,-5,-5,-5,-5,-5
3976,2,1,0,0,0,0,-5,0,0,1,1,1,1,2,2,3,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
3977,2,2,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3978,2,2,0,0,0,0,0,0,-5,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3979,3,1,0,0,0,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3980,3,1,0,0,0,1,1,1,1,1,-5,-5,-5,-5,-5,-5,1,1,1,1,1,1,1,1,1,3,1
3981,3,1,1,1,1,1,1,-5,-5,-5,-5,-5,3,3,-5,3,3,3,3,3,3,3,3,-5,-5,-5,-5
3982,3,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6,6,6,6,6
3983,3,2,0,0,0,0,0,0,1,-5,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3984,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5
3985,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3986,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,-5,-5,1,1,1,1,1,1
3987,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1
3988,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3989,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
3990,3,1,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3991,3,2,0,0,0,0,0,1,1,1,1,3,3,3,3,3,1,1,2,2,1,2,1,3,1,1,2
3992,3,2,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
3993,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,1,1,2,3,3,3,3
3994,3,1,0,0,0,0,0,0,0,0,0,1,1,1,2,-5,2,2,-5,2,1,1,1,1,3,-5,-5
3995,2,2,0,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
