"R0000100","R0046300","R0214700","R0214800","R0263300","R0263400","R0446300","R0702000","R0828000","R0944900","R0945300","R1255300","R1255700","R1650100","R1650500","R1922700","R1923100","R2317500","R2317900","R2525300","R2525700","R2924300","R2924700","R3127000","R3127400","R3522700","R3523100","R3727700","R3728100","R4182000","R4193700","R4587901","R4587903","R5270500","R5270900","R6472100","R6473700","R6591300","R6592900","R7209100","R7209600","R7897500","R7898000","T0137900","T0138400","T1297500","T1298000","T2326000","T2326500","T3308200","T3308700"
3451,-4,3,2,-4,-4,-4,-4,-4,628,877,638,276,669,437,848,446,879,208,-5,-5,838,174,838,163,838,105,838,167,838,84,167,838,-5,-5,838,174,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4
3452,-4,3,2,-4,-4,669,669,435,669,444,329,389,349,28,387,33,339,389,339,339,339,336,339,736,339,734,339,777,-4,-4,406,769,769,406,-4,-4,68,313,77,570,770,5700,8470,2540,8470,2540,4090,5120,4090,5120
3453,937,3,1,-4,-4,-4,167,706,187,364,159,364,259,364,197,33,198,364,197,29,208,364,478,259,347,259,748,274,559,259,259,559,559,274,69,567,67,19,77,22,770,220,770,220,770,220,8570,100,8570,100
3454,857,3,2,-5,-5,-5,-5,-5,-5,-5,829,19,-4,-4,-4,-4,-4,-4,-4,-4,798,486,798,468,-4,-4,-4,-4,798,468,468,778,-5,-5,857,387,-5,-5,786,232,7860,2320,7070,5400,7070,4920,7070,4920,7390,10
3455,-4,3,1,147,481,139,139,544,139,585,139,544,147,889,147,547,147,516,147,637,147,549,147,563,158,544,139,547,139,549,825,407,407,825,407,824,0,518,267,722,2670,7360,2670,7360,2670,7360,-5,-5,-5,-5
3456,669,3,2,-5,-5,628,628,444,628,276,628,274,628,877,628,877,628,438,628,243,628,274,628,243,628,365,628,438,-4,-4,-4,-4,628,438,669,434,648,276,-5,-5,5090,4720,9990,130,5090,430,9370,5860,9370,5860
3457,-4,3,2,669,915,809,808,435,858,319,858,319,858,319,628,877,628,444,628,686,628,439,628,438,628,274,628,438,628,274,274,628,628,274,628,439,628,439,497,406,4970,4060,4970,4060,4970,4060,4970,4060,4970,4060
3458,-4,3,2,808,310,809,858,389,858,313,858,319,858,313,858,389,858,315,858,163,858,319,858,447,858,387,858,203,858,143,143,858,858,153,858,389,858,389,787,200,7870,2000,7870,2000,7870,2000,7870,2000,7870,2550
3459,669,3,2,657,280,657,657,243,657,243,319,243,657,243,657,243,657,376,307,274,319,13,319,185,379,243,319,348,-5,-5,376,307,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7860,2310,7860,2310,7860,2310
3460,-4,3,1,-4,-4,-4,769,889,639,887,749,887,648,276,749,887,17,486,19,486,157,785,19,486,19,486,19,486,19,486,486,19,649,516,228,509,69,575,77,635,770,6350,770,6350,-4,-4,770,6350,770,6350
3461,609,3,1,669,912,638,937,418,937,359,747,418,937,418,937,418,937,418,937,418,937,418,937,414,937,418,937,418,937,414,414,937,937,418,937,414,937,414,947,371,9470,3710,-5,-5,-4,-4,9470,3710,9470,3710
3462,617,3,1,609,762,609,639,505,639,505,609,275,119,785,757,505,639,505,639,505,-5,-5,639,505,639,505,639,505,639,505,505,757,639,505,639,505,639,505,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3463,-4,3,1,-4,-4,657,609,274,657,274,657,274,657,234,-4,-4,858,389,657,389,609,373,807,187,358,259,508,337,358,259,197,849,-5,-5,849,178,849,19,727,43,4380,430,4380,430,4380,430,4380,430,4380,5400
3464,608,3,1,-4,-4,858,189,785,-4,-4,858,148,239,258,668,267,738,274,529,259,738,258,208,274,539,274,539,259,539,259,258,208,208,258,-2,258,-2,258,338,485,3380,4850,3380,4850,3380,4850,3380,4850,3380,4850
3465,-4,3,2,669,915,669,718,303,718,19,718,16,718,16,718,337,738,337,709,337,738,337,619,274,619,277,-4,-4,778,468,468,778,857,387,609,274,679,274,538,470,8190,5700,9570,5220,9570,5220,9570,5220,9570,5220
3466,-4,3,1,-4,-4,-4,-4,-4,647,756,649,274,508,274,697,275,647,276,757,265,139,59,139,57,197,57,139,57,888,57,59,888,888,57,208,57,77,-3,738,500,3190,1460,7290,1460,7290,1460,7290,1460,1990,1460
3467,709,3,2,738,364,447,447,274,447,313,707,313,708,389,708,376,708,7,708,376,708,376,708,315,718,24,708,319,-4,-4,-4,-4,-4,-4,718,385,718,385,707,581,6890,5860,8470,5700,4870,5240,4870,5240,4870,5240
3468,609,3,1,609,231,617,669,437,669,433,189,229,739,229,749,337,749,19,878,163,749,863,427,883,427,363,427,318,427,318,303,427,427,889,427,27,427,27,607,62,6070,620,6070,620,6070,620,6070,620,6070,620
3469,-4,3,2,-4,-4,-4,857,389,669,444,669,444,858,444,669,433,857,157,857,157,858,387,858,128,858,128,858,128,858,128,-3,-4,877,195,877,195,697,243,786,232,7860,2320,-4,-4,7860,2540,8470,4600,8470,4600
3470,667,3,1,69,560,769,69,869,769,567,109,567,69,795,69,567,69,567,69,567,69,869,69,599,69,565,69,567,69,566,566,69,69,566,69,566,69,566,77,624,770,6240,-5,-5,-5,-5,-5,-5,-5,-5
3471,669,3,1,118,413,667,118,657,69,567,337,889,337,777,337,769,328,777,337,737,337,633,337,633,69,558,69,565,69,567,567,69,69,599,69,19,69,19,77,22,770,220,770,220,770,220,770,220,770,220
3472,669,3,1,669,230,669,669,433,669,433,669,433,279,23,297,23,297,23,297,23,279,23,279,23,279,23,297,166,298,7,25,279,298,7,298,7,298,7,347,12,3470,120,-5,-5,-5,-5,-5,-5,-5,-5
3473,669,3,1,669,912,168,69,804,69,585,77,585,69,585,69,783,69,585,69,783,68,585,68,585,68,585,69,585,68,585,585,68,68,557,68,585,68,585,77,644,2390,430,9990,6440,2390,6440,2390,6440,2390,6440
3474,669,3,1,197,492,69,69,585,69,585,159,585,69,585,69,783,69,783,387,783,68,557,69,558,68,585,69,558,68,585,585,68,68,557,69,558,69,558,77,620,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
3475,-4,3,2,669,310,669,669,435,669,435,669,435,669,435,669,435,669,435,769,406,857,468,857,468,857,808,857,808,669,436,407,769,839,105,839,105,839,105,829,360,8290,3600,8290,3600,8290,3600,8290,3600,8290,3600
3476,-4,3,2,-4,-4,-4,-4,-4,669,438,669,435,669,435,777,435,777,435,669,435,927,424,927,426,927,424,927,424,927,424,424,927,848,447,669,435,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3477,-4,3,2,-4,-4,-4,669,435,-4,-4,669,438,669,438,669,435,907,355,408,887,907,354,669,435,747,427,907,883,669,435,-5,-5,747,426,-5,-5,848,406,-5,-5,7680,3920,7680,3920,-4,-4,7680,3920,-5,-5
3478,188,3,1,-5,-5,188,758,547,748,213,759,365,757,505,757,505,219,505,757,505,219,505,219,505,507,547,179,516,759,516,507,417,417,505,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3479,-4,3,1,-4,-4,-4,759,453,17,479,19,479,69,558,68,804,69,588,69,558,68,558,69,558,69,558,67,558,607,376,844,69,69,804,69,804,69,804,77,913,770,9130,770,9130,770,9130,770,9130,770,9130
3480,847,3,2,669,915,838,669,435,669,435,669,435,669,438,669,435,669,435,259,319,208,313,669,435,669,435,839,379,839,319,313,848,848,379,839,319,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3481,669,3,2,669,914,669,838,95,838,95,838,95,838,95,838,95,838,95,838,95,838,95,838,95,838,95,838,95,838,95,95,838,838,95,838,95,838,95,819,313,8190,3130,8190,3130,8190,3130,8190,3130,8190,3130
3482,227,3,1,227,492,227,227,547,227,225,227,225,227,547,177,547,227,516,759,783,158,507,139,783,69,783,69,783,69,783,783,999,999,783,67,783,67,783,77,814,8870,8140,8870,8140,8870,8140,8870,8140,8870,8140
3483,-4,3,1,-4,-4,669,669,436,19,486,19,486,19,486,19,486,19,486,19,486,19,486,19,486,19,485,19,558,387,755,-3,19,19,486,19,19,19,19,777,421,7770,4210,7770,4210,7770,4210,7770,4210,7770,4210
3484,-4,3,1,669,912,669,669,439,19,486,19,486,19,486,69,486,19,486,728,486,19,486,19,486,19,486,19,486,19,486,486,-4,-4,486,19,485,19,485,777,425,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3485,-4,3,2,669,914,-4,748,777,748,389,669,435,657,19,657,243,609,28,609,33,698,29,669,276,669,276,867,159,857,156,156,857,857,156,-5,-5,-5,-5,-5,-5,7860,2310,9990,2310,7860,2310,-5,-5,-5,-5
3486,-4,3,2,838,925,-4,838,95,838,95,838,89,-5,-5,848,95,848,95,-5,-5,838,19,838,95,838,95,838,379,838,95,95,838,838,95,838,95,-5,-5,-5,-5,7970,3130,-5,-5,-4,110,7970,350,7970,350
3487,628,3,2,-4,-4,-4,697,274,748,274,807,274,748,274,668,274,807,274,748,257,698,243,417,376,828,319,838,319,509,633,633,509,319,379,748,19,748,633,-5,-5,1990,5110,9990,5700,1990,5700,-5,-5,3960,20
3488,609,3,2,717,325,717,717,307,717,378,717,375,219,375,-5,-5,227,253,227,375,227,19,227,253,219,19,227,19,197,19,-5,-5,-5,-5,197,19,717,375,-5,-5,-5,-5,-5,-5,-4,430,-5,-5,-5,-5
3489,-4,3,1,-4,-4,628,-4,-4,937,347,477,585,937,547,477,547,477,547,477,36,477,585,69,869,477,549,838,206,848,379,213,208,838,206,-5,-5,-5,-5,818,2,-5,-5,-5,-5,-5,-5,8190,3060,7970,350
3490,69,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3491,-4,3,2,927,391,889,828,339,748,385,847,308,889,308,828,339,828,229,828,308,828,229,847,308,848,379,-4,-4,748,316,379,999,999,19,748,376,748,376,558,476,6970,5400,6970,5400,-5,-5,6970,5400,6970,5400
3492,-4,3,1,-4,-4,-4,19,889,69,869,247,363,648,276,879,585,417,804,527,804,527,804,527,804,527,804,527,804,298,804,804,417,417,804,417,805,417,804,617,913,6170,9130,6170,9130,6170,9130,6170,9130,6170,9130
3493,158,3,1,158,154,158,927,424,927,424,188,538,587,225,188,538,188,376,759,538,539,525,759,538,697,538,759,538,697,523,523,697,697,19,-4,-4,748,538,349,701,7590,430,7590,430,7590,430,7590,430,7590,430
3494,219,3,1,219,610,-4,888,585,69,783,219,889,219,785,219,889,219,889,219,213,219,889,219,683,219,575,219,779,219,785,785,219,219,575,219,505,219,505,357,720,3570,7200,3570,7200,2290,6350,6480,6350,6480,6350
3495,158,3,1,158,690,158,168,785,158,785,259,706,259,785,537,877,537,364,417,805,417,804,417,809,417,804,417,805,417,805,805,417,417,804,417,804,417,804,638,913,6380,9130,6380,9130,6380,9130,6380,9130,6380,9130
3496,858,3,2,858,140,247,208,313,208,313,369,313,169,313,937,313,507,313,718,313,718,313,718,313,379,313,259,313,387,379,313,429,259,313,737,27,737,27,787,540,7870,5400,7870,5400,7870,5400,7870,5700,7870,5930
3497,769,3,1,-4,-4,-4,338,195,697,365,118,274,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,697,23,387,7,387,7,399,12,3990,120,9990,130,3990,120,3990,120,7370,120
3498,187,3,2,187,323,139,187,363,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3499,669,3,1,-5,-5,-4,669,435,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,53,888,738,243,718,19,718,19,707,1,7070,10,-5,-5,-4,-4,7070,10,-5,-5
3500,-4,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,748,19,188,558,739,19,-5,-5,748,19,748,19,198,19,748,19,188,19,19,188,188,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3501,-4,3,2,769,980,769,669,453,778,453,718,748,-4,-4,697,285,-4,-4,339,389,849,313,849,16,849,16,339,379,339,339,339,339,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3502,208,1,2,208,372,208,208,313,209,315,208,389,368,313,208,313,208,313,208,27,208,313,208,313,208,379,208,379,208,313,313,208,208,313,368,328,368,328,229,570,2290,5700,2290,5700,2290,5700,2290,5700,2290,5700
3503,718,3,1,717,545,728,717,696,717,696,738,766,718,696,728,225,718,59,718,19,738,303,718,59,728,19,738,19,718,19,19,718,718,558,718,16,718,16,707,41,7070,410,7070,410,-5,-5,-5,-5,-5,-5
3504,558,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3505,649,3,2,649,305,608,227,635,359,19,219,19,358,19,259,243,647,19,219,243,539,13,227,19,507,166,-5,-5,-5,-5,-5,-5,-5,-5,259,19,259,19,449,5,7470,430,2280,1810,2280,1810,2280,1810,2280,1810
3506,669,3,2,669,915,669,809,276,927,435,858,435,368,225,259,558,587,365,587,363,208,64,208,229,187,229,738,166,738,379,-4,-4,677,446,667,446,667,446,507,365,7460,5110,5070,3410,7280,430,7280,430,7280,430
3507,-4,3,1,-4,-4,-4,718,534,758,534,537,19,857,453,857,453,867,453,857,453,857,453,857,453,857,453,857,453,857,453,433,857,857,453,857,453,857,453,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3508,-4,3,2,887,314,-4,937,459,937,459,328,889,329,883,809,459,937,19,809,19,809,459,809,459,937,5,838,468,838,468,468,838,838,387,838,387,-5,-5,819,254,8190,2540,9990,2340,8190,4600,8190,4600,8190,4600
3509,648,3,1,-4,-4,-4,-4,-4,-4,-4,747,424,747,424,268,883,297,883,297,364,297,757,297,757,417,757,297,777,297,757,757,297,297,777,358,757,139,889,77,644,770,7310,770,7310,770,7310,8190,3320,8190,3320
3510,417,3,1,417,764,417,417,887,907,887,429,887,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3511,717,3,2,727,364,897,738,319,738,308,339,313,339,313,339,313,339,313,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,435,669,669,434,687,274,857,313,786,570,7860,5700,7860,5700,7860,5700,7860,5700,7860,5700
3512,-4,3,2,-4,-4,-4,809,459,889,308,889,339,889,386,889,23,748,376,889,337,648,243,889,308,889,364,429,389,889,379,23,889,889,305,429,19,429,19,877,471,-4,-4,-4,-4,7070,4920,7070,4920,5670,7510
3513,-4,3,1,368,641,368,368,756,158,547,338,356,339,883,339,856,269,364,337,805,337,883,337,889,337,785,337,888,337,889,889,337,337,547,337,889,337,889,237,896,2370,5610,9990,5610,2370,9620,2370,9620,2370,9620
3514,-4,3,2,369,332,-4,507,313,539,313,187,313,537,337,157,337,187,337,539,337,539,337,539,337,539,337,187,337,539,337,337,539,539,337,187,337,707,383,-5,-5,-5,-5,9990,5340,6880,120,6880,120,5080,5400
3515,189,3,1,-4,-4,739,189,229,208,229,239,229,247,59,247,229,539,59,239,229,248,229,848,229,239,65,208,64,739,229,229,208,208,64,257,229,257,229,417,471,4170,4710,4170,4710,4170,4710,4170,4710,4170,4710
3516,-4,3,1,749,764,-4,757,514,478,453,937,889,478,696,718,254,718,254,718,254,77,258,888,285,718,254,748,887,749,887,887,749,749,19,429,274,429,274,878,484,8780,4840,7070,4920,8780,4840,7070,4920,7070,4920
3517,-4,3,1,-4,-4,609,648,885,639,505,219,274,639,13,639,243,-5,-5,-5,-5,-5,-5,639,503,639,19,757,19,757,505,-5,-5,757,505,-4,-4,708,255,689,91,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3518,889,3,2,889,372,849,849,313,849,313,849,313,849,313,849,313,849,313,849,313,849,313,849,313,849,313,849,313,849,315,-5,-5,849,315,-5,-5,-5,-5,727,570,7270,5700,-5,-5,-4,-4,7270,5700,-5,-5
3519,669,3,2,-4,-4,387,398,777,-4,-4,669,444,669,444,809,558,809,19,809,453,798,887,809,19,798,453,809,448,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,8290,4230,8290,4230,8290,4230
3520,-4,3,1,-4,-4,-4,809,459,809,459,809,486,798,274,867,175,748,175,838,447,848,159,848,175,838,105,897,175,848,105,105,838,848,199,848,103,838,105,819,321,-5,-5,-5,-5,-5,-5,-5,-5,8190,1610
3521,857,3,1,877,914,809,777,424,778,424,777,424,777,418,777,415,777,19,777,427,777,426,777,415,777,6,777,19,777,415,415,777,777,8,409,-3,19,804,777,913,7770,9130,7770,9130,770,6230,770,6230,770,6230
3522,-4,3,2,718,325,-4,887,187,669,453,669,444,718,376,717,234,718,389,718,368,718,234,718,234,727,335,727,194,669,434,234,718,718,234,-4,-4,-4,-4,868,472,6380,9620,-4,-4,8370,4610,9070,5350,9070,4740
3523,-4,3,2,-4,-4,-4,769,405,657,274,697,276,379,308,379,385,309,319,329,348,-4,-4,-4,-4,-4,-4,-4,-4,609,376,25,609,609,8,609,327,609,376,689,101,6890,1010,8770,5240,6990,5840,6990,5840,6990,4810
3524,669,3,2,669,310,777,777,435,537,229,259,229,539,229,838,308,838,229,838,229,838,229,838,229,838,8,838,64,838,159,159,838,838,64,707,64,-5,-5,699,12,6990,120,9990,120,6990,120,6990,120,6870,120
3525,609,3,1,777,911,777,739,376,739,363,889,274,889,274,889,19,739,23,739,274,889,19,738,-3,889,23,889,23,889,23,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3526,668,3,1,668,705,77,69,805,467,804,69,55,408,453,408,453,408,453,408,453,408,575,408,889,408,453,408,575,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3527,68,3,2,68,372,68,68,337,478,337,69,313,68,337,69,337,69,337,69,337,478,23,188,313,539,19,539,23,398,337,337,398,398,19,647,-3,727,19,427,500,4270,5000,4270,5000,4270,5000,4270,5000,4270,5000
3528,749,3,1,-4,-4,669,648,885,648,885,168,804,408,505,69,576,467,575,69,575,69,575,69,558,69,558,69,558,69,19,575,69,69,575,69,575,-5,-5,77,635,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3529,-4,3,1,-4,-4,888,77,217,888,217,888,217,888,274,888,274,468,274,467,373,467,257,179,57,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3530,628,3,1,-4,-4,628,628,877,628,877,158,59,168,59,167,59,167,59,167,56,167,217,167,56,167,56,167,56,187,56,505,757,178,59,178,59,539,215,269,143,2690,1430,2690,1430,3190,1430,7680,3920,7680,3920
3531,359,3,2,607,231,607,627,243,607,243,607,877,667,274,728,274,69,337,667,266,67,19,67,337,667,185,748,185,748,185,185,748,339,256,897,243,897,188,856,260,8560,2600,8560,2600,4890,4720,4580,4850,4580,4850
3532,609,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,248,276,809,276,-4,-4,-4,-4,-4,-4,-4,-4,618,912,6180,9120,6180,9120,6180,9120,6180,9120,6180,9120
3533,239,3,1,239,153,717,697,274,697,274,697,274,259,13,339,13,219,274,748,19,339,13,248,274,327,243,259,19,248,243,243,248,248,243,219,19,219,19,229,5,2290,50,2290,50,2290,50,2290,50,2290,50
3534,-4,1,1,858,902,858,177,55,177,274,709,255,709,253,467,216,208,274,398,259,529,259,529,243,529,259,67,19,77,254,254,77,77,558,67,19,67,19,77,22,-5,-5,-5,-5,-4,-4,-4,-4,-5,-5
3535,-4,1,2,-4,-4,858,19,486,887,19,857,156,857,156,857,156,857,156,857,156,857,156,857,156,857,156,857,156,857,156,156,857,857,157,857,157,857,157,786,232,7860,2320,7860,2320,-5,-5,7860,2320,7860,2320
3536,-4,1,2,-4,-4,-4,858,163,858,313,858,319,609,276,857,158,857,159,857,156,857,156,848,274,927,376,-5,-5,927,5,194,857,857,194,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5
3537,829,3,2,829,921,829,829,319,829,445,829,319,829,319,829,319,829,313,829,319,829,319,829,319,829,319,829,314,829,319,319,829,829,319,829,319,829,319,798,540,7980,5400,7980,5400,7980,5400,7980,5400,7980,5400
3538,628,2,1,628,762,628,628,243,628,877,628,365,628,365,628,877,657,243,697,19,628,243,628,19,628,243,628,243,418,889,19,609,609,19,609,813,609,813,538,770,5380,9130,9990,9620,5380,9620,5380,9620,5380,9620
3539,-4,2,1,-4,-4,757,757,505,-5,-5,838,444,19,486,647,806,-5,-5,259,779,259,877,168,579,69,869,219,843,287,633,579,69,69,579,-5,-5,67,869,77,626,770,6260,-4,-4,-4,-4,770,6260,770,6420
3540,-4,2,1,-4,-4,-4,147,766,139,766,779,453,69,588,657,453,348,777,318,749,307,883,317,883,317,883,317,777,308,889,856,387,387,856,178,636,208,364,339,561,3390,5610,3390,5610,3390,5610,3390,5610,3390,5610
3541,-4,2,1,-4,-4,-4,158,769,147,785,337,637,337,769,337,777,337,706,-5,-5,417,804,368,856,-4,-4,777,436,-5,-5,19,777,537,804,-5,-5,69,19,868,402,-5,-5,-5,-5,-5,-5,8680,4020,-5,-5
3542,-4,2,2,-4,-4,-4,927,365,608,276,608,276,608,276,608,276,608,276,-5,-5,839,97,677,276,677,276,677,365,677,337,337,677,677,243,677,276,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
3543,-4,2,2,628,310,-4,-4,-4,798,444,-4,-4,-4,-4,737,889,-4,-4,259,777,398,719,-4,-4,-4,-4,907,777,737,783,783,737,737,889,199,888,737,796,829,502,8290,5020,8370,4610,7580,5620,7580,2000,7580,2000
3544,-4,2,2,-4,-4,-4,-4,-4,669,276,-4,-4,669,434,-4,-4,-4,-4,-4,-4,737,785,-4,-4,737,785,737,453,387,888,-4,-4,878,467,737,785,737,889,769,422,7870,4220,7690,4220,7690,4230,7690,4230,7690,4230
3545,-4,2,2,-4,-4,-4,838,339,838,223,609,276,609,357,707,383,707,313,707,313,707,313,778,406,798,406,-4,-4,-4,-4,-4,-4,878,313,878,379,878,174,837,201,8370,2010,9990,2010,8370,5700,8370,5700,8370,5700
3546,338,2,2,338,266,-4,937,315,858,347,867,363,738,316,917,313,289,313,368,319,777,317,798,379,777,19,777,243,777,257,243,777,777,19,777,19,777,13,866,5,8660,50,8660,50,8660,50,8660,50,8660,5410
3547,878,2,2,878,391,838,838,313,838,315,838,389,838,313,838,313,828,446,828,15,838,447,838,313,838,313,838,313,838,313,313,838,838,313,838,313,838,313,819,570,8190,5700,9990,5930,8190,2020,8190,2020,8190,2020
3548,669,2,2,669,911,-4,647,389,669,276,857,155,-4,-4,848,446,787,458,-4,-4,-4,-4,-4,-4,787,458,-4,-4,-4,-4,-4,-4,669,276,-4,-4,787,458,707,2,7070,20,9990,420,7070,410,7070,410,7070,410
3549,769,3,2,-4,-4,769,769,468,769,405,619,365,609,275,728,453,769,406,609,777,609,889,728,453,728,453,-4,-4,609,889,-3,-4,609,453,-4,-4,609,453,559,422,-4,-4,5390,4760,8170,4610,7690,4220,7690,4220
3550,808,3,1,238,651,-4,219,759,219,579,219,376,219,505,219,785,219,785,417,785,219,785,219,785,417,804,219,785,219,633,785,219,219,505,219,785,219,785,357,913,6170,9130,6170,9130,2370,8960,2370,8960,2370,7920
3551,669,3,2,609,310,609,609,29,897,313,858,387,858,153,857,157,259,68,297,229,739,229,739,229,739,229,609,229,739,229,229,739,748,64,748,64,739,64,559,100,6695,430,6695,430,6695,430,6695,430,6695,110
3552,769,3,2,769,980,669,727,378,669,438,219,229,219,734,219,364,219,313,219,313,219,313,219,313,219,313,198,13,219,166,166,219,219,19,219,166,219,166,357,4,3490,4760,3490,4760,3490,50,3490,4850,3490,4850
3553,887,3,1,-4,-4,127,69,584,857,453,857,453,69,573,69,869,69,558,69,19,69,584,-3,-3,69,584,69,584,67,869,19,69,69,19,69,584,69,584,77,646,770,6200,770,6200,770,6200,770,6200,770,6460
3554,338,3,2,769,980,-4,-4,-4,-4,-4,-4,-4,669,444,328,679,339,777,329,888,329,888,328,888,328,888,329,888,328,888,888,328,328,877,329,888,329,637,189,803,1890,8030,1890,8030,1890,8030,1890,8030,1890,8030
3555,669,3,2,-4,-4,877,769,405,769,405,769,405,769,406,769,406,769,405,769,406,259,889,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,379,889,379,888,628,243,497,470,4970,4700,4970,4700,4970,4700,4970,4700,4970,4700
3556,329,3,2,329,690,329,329,888,328,883,339,777,329,769,677,877,738,449,737,353,737,303,67,285,209,785,189,796,209,683,683,208,208,683,398,335,398,335,-4,-4,6990,4230,7690,4230,7690,4230,7690,4230,7690,4230
3557,-4,3,2,-4,-4,669,669,435,328,877,339,889,328,769,328,769,328,769,328,873,328,799,328,754,328,859,329,786,328,769,777,329,328,769,328,769,328,769,187,871,1870,8710,9990,8710,1870,8710,1870,8710,1870,8710
3558,-4,3,2,357,394,677,677,365,677,23,187,313,197,319,197,313,69,313,689,337,689,337,689,337,689,337,689,337,689,337,23,69,69,23,687,243,687,243,77,12,770,120,9990,800,770,800,770,800,770,10
3559,-4,3,1,-4,-4,-4,108,777,109,877,109,727,109,777,109,777,109,706,109,777,168,769,158,769,169,769,158,769,69,585,585,69,69,587,168,585,68,585,77,644,770,6440,770,6440,770,6440,770,6440,770,6440
3560,-4,3,2,-4,-4,-4,609,276,648,276,648,276,608,276,607,275,698,276,569,276,707,383,708,383,748,386,429,337,429,337,379,999,999,379,339,379,769,467,847,460,8470,4600,8470,4600,8470,4600,8470,4600,8470,4600
3561,-4,3,1,-4,-4,-4,857,453,857,453,657,734,418,888,418,708,329,496,328,583,149,804,147,719,147,766,149,709,147,777,777,147,147,779,147,764,147,764,277,822,2770,8220,2770,8220,2770,8220,2770,8220,2770,8220
3562,328,3,1,-4,-4,-4,-4,-4,67,869,278,754,259,888,779,748,779,889,779,448,779,633,779,19,779,19,779,19,779,633,633,779,779,633,779,633,737,785,758,963,7580,9630,8680,4020,8680,4020,8680,4020,8680,4020
3563,-4,3,1,329,690,328,329,777,328,777,328,777,49,777,328,777,328,777,329,519,329,864,559,19,329,633,559,19,328,633,633,328,328,633,328,633,328,633,188,962,1880,9620,9990,8950,1880,8950,1880,8950,1880,8960
3564,667,3,2,339,690,839,839,447,669,434,189,785,189,784,189,785,739,785,189,308,189,785,189,785,208,683,189,307,189,633,633,208,209,633,209,633,209,633,349,770,3490,7700,3490,7700,3490,7700,3490,7700,3490,7700
3565,537,3,2,197,305,139,417,337,417,337,368,378,449,337,417,378,417,378,417,378,417,378,417,378,417,378,417,378,999,378,378,748,429,339,429,64,429,229,617,71,6170,5920,9990,5920,-5,-5,-5,-5,-5,-5
